Title,age,height,body_type,region_origin,sphere_of_employment,app_source,chat_channel,met,days_to_meet,sex_quality,emotional_comfort,chemistry,communication_style_match,relationship_outcome,activity
10586,29,200-210,muscular,NorthAmerica,finance / banking / consulting,Bumble,whatsapp,1,30-90,2.0,5.0,3.0,5.0,1,not active
11728,52,190-200,athletic,WesternEurope,engineering / manufacturing,tinder,tinder,1,7-15,2.0,5.0,1.0,5.0,0,not active
3835,23,160-170,average,NorthAmerica,self-employed,instagram,snapchat,1,7-15,1.0,3.0,4.0,3.0,1,active
3006,35,190-200,athletic,Africa,arts / media / design,instagram,instagram dm,0,,,,,,0,not active
4064,49,180-190,athletic,SouthAmerica,engineering / manufacturing,Hinge,telegram,0,,,,,,0,not active
5905,50,160-170,average,CentralEurope,education / academia,Hinge,whatsapp,0,,,,,,0,not active
5735,21,160-170,athletic,SouthAmerica,public sector / government,tinder,snapchat,0,,,,,,0,not active
14000,32,200-210,average,WesternEurope,service / hospitality,tinder,instagram dm,1,7-15,0.0,4.0,4.0,4.0,1,active
3293,47,170-180,average,EasternEurope,public sector / government,instagram,instagram dm,1,1-7,5.0,5.0,3.0,5.0,1,active
3358,36,180-190,athletic,NorthAmerica,finance / banking / consulting,Hinge,snapchat,1,1-7,0.0,5.0,2.0,5.0,0,not active
6660,52,180-190,mediocre,SouthEurope,it / tech,instagram,whatsapp,1,1-7,3.0,4.0,1.0,4.0,1,active
14335,47,190-200,athletic,SouthAmerica,other,tinder,snapchat,1,7-15,1.0,2.0,3.0,2.0,2,active
10621,38,190-200,athletic,CentralEurope,healthcare / medicine,Hinge,whatsapp,1,15-30,4.0,4.0,3.0,4.0,2,active
137,39,180-190,athletic,MiddleEast,sales / marketing,tinder,snapchat,1,7-15,4.0,2.0,3.0,2.0,1,active
6271,42,160-170,average,Asia,engineering / manufacturing,tinder,snapchat,1,15-30,4.0,4.0,1.0,4.0,2,active
4310,27,190-200,muscular,NorthAmerica,healthcare / medicine,Bumble,telegram,1,15-30,2.0,2.0,4.0,2.0,1,not active
5203,47,160-170,mediocre,CentralEurope,other,instagram,instagram dm,0,,,,,,0,not active
2063,31,200-210,average,SouthAmerica,education / academia,tinder,instagram dm,0,,,,,,0,not active
4639,25,160-170,average,SouthAmerica,engineering / manufacturing,tinder,snapchat,1,7-15,1.0,2.0,3.0,2.0,2,active
7246,47,190-200,average,CentralEurope,healthcare / medicine,tinder,instagram dm,1,7-15,4.0,1.0,3.0,1.0,1,active
12733,48,170-180,average,SouthEurope,healthcare / medicine,Bumble,snapchat,1,7-15,3.0,3.0,4.0,3.0,1,active
13777,34,180-190,athletic,MiddleEast,finance / banking / consulting,Hinge,snapchat,1,7-15,4.0,3.0,3.0,3.0,1,active
4430,18,180-190,mediocre,Asia,student,tinder,instagram dm,1,30-90,2.0,4.0,5.0,4.0,0,not active
1395,50,180-190,average,SouthEurope,self-employed,instagram,snapchat,1,15-30,2.0,4.0,1.0,3.0,0,not active
7491,50,200-210,athletic,WesternEurope,public sector / government,Hinge,instagram dm,1,15-30,3.0,4.0,2.0,4.0,1,active
1285,50,170-180,mediocre,SouthAmerica,public sector / government,tinder,tinder,0,,,,,,0,not active
2704,23,200-210,muscular,Africa,it / tech,Hinge,snapchat,0,,,,,,0,not active
4021,34,180-190,overweight,MiddleEast,sales / marketing,Hinge,snapchat,1,1-7,5.0,4.0,4.0,4.0,2,active
10142,26,190-200,muscular,Africa,it / tech,tinder,tinder,1,7-15,2.0,1.0,4.0,1.0,2,active
14363,23,160-170,average,SouthEurope,public sector / government,tinder,snapchat,0,,,,,,0,not active
12453,39,190-200,athletic,WesternEurope,engineering / manufacturing,instagram,snapchat,1,7-15,0.0,2.0,2.0,2.0,0,not active
1148,26,190-200,muscular,NorthAmerica,service / hospitality,tinder,telegram,1,7-15,1.0,3.0,2.0,3.0,1,active
4554,32,180-190,average,WesternEurope,finance / banking / consulting,Hinge,instagram dm,1,7-15,3.0,1.0,4.0,1.0,1,active
4040,48,190-200,muscular,WesternEurope,engineering / manufacturing,Bumble,whatsapp,0,,,,,,0,not active
7610,46,160-170,mediocre,Asia,healthcare / medicine,Bumble,other,0,,,,,,1,not active
5567,20,180-190,muscular,SouthAmerica,finance / banking / consulting,grindr,instagram dm,1,15-30,4.0,4.0,4.0,3.0,2,active
6911,27,170-180,average,WesternEurope,healthcare / medicine,tinder,snapchat,0,,,,,,0,not active
4799,24,180-190,average,NorthAmerica,engineering / manufacturing,Hinge,instagram dm,1,7-15,1.0,3.0,2.0,3.0,2,active
5874,46,180-190,slim,NorthAmerica,it / tech,instagram,snapchat,1,7-15,2.0,2.0,1.0,2.0,0,not active
2941,52,170-180,average,EasternEurope,healthcare / medicine,tinder,snapchat,1,7-15,5.0,5.0,2.0,5.0,0,not active
7701,38,180-190,overweight,NorthAmerica,education / academia,tinder,whatsapp,1,7-15,1.0,3.0,4.0,3.0,1,active
3286,51,180-190,slim,EasternEurope,public sector / government,Bumble,whatsapp,1,7-15,3.0,5.0,1.0,5.0,2,active
14294,26,200-210,muscular,Africa,engineering / manufacturing,instagram,instagram dm,0,,,,,,0,not active
3371,41,170-180,athletic,Asia,service / hospitality,grindr,grindr,1,15-30,5.0,3.0,1.0,3.0,1,not active
2671,19,200-210,muscular,NorthAmerica,other,grindr,whatsapp,0,,,,,,0,not active
6793,45,200-210,athletic,Africa,engineering / manufacturing,Bumble,telegram,1,7-15,3.0,5.0,4.0,5.0,2,active
14582,20,180-190,mediocre,SouthAmerica,healthcare / medicine,Bumble,instagram dm,0,,,,,,0,not active
12750,50,180-190,athletic,Africa,finance / banking / consulting,Hinge,snapchat,0,,,,,,0,not active
12566,26,170-180,average,EasternEurope,public sector / government,tinder,snapchat,1,7-15,3.0,2.0,1.0,2.0,2,active
8132,43,200-210,athletic,NorthAmerica,healthcare / medicine,Bumble,other,1,15-30,2.0,1.0,3.0,1.0,2,active
6993,39,160-170,muscular,Asia,engineering / manufacturing,tinder,tinder,1,15-30,3.0,2.0,3.0,2.0,2,active
9200,52,160-170,slim,NorthAmerica,it / tech,instagram,snapchat,0,,,,,,0,not active
9674,37,200-210,athletic,SouthEurope,finance / banking / consulting,Hinge,snapchat,1,7-15,0.0,1.0,4.0,1.0,0,not active
8447,46,180-190,muscular,NorthAmerica,engineering / manufacturing,tinder,other,1,7-15,2.0,3.0,1.0,3.0,2,active
3519,19,190-200,muscular,Africa,engineering / manufacturing,other,snapchat,1,30-90,1.0,3.0,4.0,3.0,2,active
3573,44,190-200,muscular,Africa,self-employed,Bumble,instagram dm,1,7-15,4.0,5.0,1.0,5.0,1,active
9457,41,200-210,muscular,WesternEurope,education / academia,Bumble,whatsapp,0,,,,,,0,not active
10421,21,200-210,athletic,Africa,public sector / government,grindr,snapchat,0,,,,,,0,not active
2785,38,160-170,overweight,Asia,it / tech,Hinge,instagram dm,1,1-7,3.0,3.0,4.0,3.0,1,not active
12471,26,190-200,athletic,SouthAmerica,finance / banking / consulting,tinder,snapchat,1,1-7,4.0,2.0,5.0,3.0,2,active
6625,25,170-180,athletic,Asia,public sector / government,tinder,tinder,1,7-15,4.0,3.0,2.0,3.0,1,active
2630,35,160-170,slim,EasternEurope,finance / banking / consulting,tinder,telegram,1,30-90,3.0,3.0,4.0,3.0,1,not active
2037,40,200-210,athletic,CentralEurope,healthcare / medicine,Bumble,instagram dm,1,7-15,3.0,5.0,4.0,5.0,0,not active
7308,34,180-190,average,NorthAmerica,service / hospitality,instagram,whatsapp,0,,,,,,1,active
10698,46,200-210,athletic,NorthAmerica,healthcare / medicine,Bumble,tinder,0,,,,,,1,not active
12532,26,160-170,athletic,CentralEurope,service / hospitality,Hinge,telegram,0,,,,,,0,not active
14815,39,200-210,athletic,Africa,public sector / government,tinder,instagram dm,0,,,,,,1,not active
12863,29,170-180,average,WesternEurope,public sector / government,grindr,whatsapp,1,7-15,2.0,5.0,2.0,5.0,1,active
14633,37,200-210,athletic,Africa,sales / marketing,Bumble,instagram dm,1,1-7,4.0,3.0,4.0,3.0,1,active
11650,22,200-210,average,NorthAmerica,healthcare / medicine,Hinge,instagram dm,1,7-15,2.0,4.0,5.0,4.0,1,active
12462,29,190-200,average,Africa,engineering / manufacturing,grindr,snapchat,1,7-15,3.0,5.0,4.0,4.0,1,active
11373,23,190-200,muscular,Africa,self-employed,grindr,snapchat,1,7-15,0.0,3.0,4.0,3.0,2,active
1240,51,200-210,muscular,CentralEurope,self-employed,Bumble,whatsapp,1,1-7,1.0,3.0,1.0,3.0,2,active
8865,41,200-210,muscular,Africa,healthcare / medicine,Bumble,snapchat,0,,,,,,0,not active
384,30,180-190,athletic,CentralEurope,finance / banking / consulting,Hinge,whatsapp,1,7-15,4.0,4.0,4.0,4.0,1,active
8850,51,190-200,average,Africa,healthcare / medicine,Hinge,instagram dm,1,15-30,3.0,4.0,2.0,4.0,0,not active
5764,51,200-210,muscular,SouthEurope,public sector / government,Bumble,whatsapp,1,7-15,2.0,1.0,3.0,2.0,0,not active
12858,26,200-210,muscular,WesternEurope,finance / banking / consulting,Bumble,snapchat,0,,,,,,0,not active
14217,42,200-210,athletic,WesternEurope,finance / banking / consulting,Hinge,whatsapp,1,1-7,5.0,5.0,2.0,5.0,2,active
14745,18,180-190,average,Africa,finance / banking / consulting,instagram,instagram dm,0,,,,,,0,not active
10019,39,180-190,athletic,Africa,education / academia,Hinge,instagram dm,1,1-7,2.0,3.0,3.0,2.0,1,active
1741,24,170-180,average,Africa,public sector / government,Bumble,instagram dm,0,,,,,,1,not active
6080,29,180-190,slim,CentralEurope,engineering / manufacturing,tinder,whatsapp,1,7-15,4.0,1.0,4.0,1.0,1,not active
5021,24,180-190,athletic,MiddleEast,it / tech,tinder,instagram dm,1,1-7,3.0,1.0,4.0,1.0,1,active
1099,21,200-210,muscular,NorthAmerica,sales / marketing,grindr,instagram dm,0,,,,,,0,not active
14466,47,180-190,mediocre,NorthAmerica,public sector / government,tinder,snapchat,1,1-7,0.0,5.0,3.0,5.0,1,active
9899,29,170-180,average,Africa,engineering / manufacturing,instagram,instagram dm,0,,,,,,0,not active
4732,36,180-190,athletic,CentralEurope,finance / banking / consulting,Hinge,whatsapp,1,7-15,2.0,5.0,3.0,4.0,2,active
9833,29,190-200,athletic,NorthAmerica,public sector / government,tinder,snapchat,0,,,,,,0,not active
10886,18,160-170,muscular,SouthAmerica,self-employed,tinder,snapchat,1,7-15,4.0,4.0,3.0,4.0,1,not active
7014,31,180-190,average,CentralEurope,finance / banking / consulting,other,whatsapp,1,7-15,5.0,2.0,5.0,2.0,2,active
1446,22,190-200,athletic,SouthEurope,it / tech,grindr,instagram dm,1,7-15,2.0,2.0,1.0,2.0,1,active
14626,33,170-180,athletic,Asia,self-employed,grindr,instagram dm,1,7-15,2.0,4.0,3.0,4.0,2,active
14185,47,190-200,athletic,CentralEurope,finance / banking / consulting,tinder,snapchat,0,,,,,,1,active
3425,27,180-190,overweight,MiddleEast,other,tinder,instagram dm,0,,,,,,0,not active
2851,39,180-190,slim,NorthAmerica,engineering / manufacturing,tinder,tinder,1,7-15,3.0,4.0,2.0,4.0,1,active
12594,20,160-170,athletic,EasternEurope,finance / banking / consulting,Bumble,snapchat,1,7-15,1.0,3.0,2.0,4.0,1,not active
9026,20,200-210,muscular,Africa,service / hospitality,tinder,snapchat,0,,,,,,0,not active
10122,29,180-190,average,WesternEurope,public sector / government,tinder,whatsapp,1,15-30,3.0,4.0,4.0,4.0,1,not active
1166,25,190-200,athletic,CentralEurope,public sector / government,grindr,whatsapp,1,15-30,3.0,3.0,2.0,3.0,2,active
13321,47,160-170,athletic,WesternEurope,finance / banking / consulting,Hinge,telegram,0,,,,,,0,not active
8622,18,170-180,average,EasternEurope,service / hospitality,tinder,snapchat,0,,,,,,0,not active
937,50,190-200,average,Africa,healthcare / medicine,Hinge,telegram,0,,,,,,0,not active
5597,26,170-180,average,NorthAmerica,healthcare / medicine,Bumble,whatsapp,1,7-15,1.0,4.0,2.0,4.0,1,active
4492,51,170-180,mediocre,EasternEurope,service / hospitality,tinder,tinder,0,,,,,,0,not active
7977,28,200-210,muscular,NorthAmerica,finance / banking / consulting,Hinge,whatsapp,1,7-15,2.0,4.0,4.0,3.0,2,active
6139,39,200-210,muscular,SouthEurope,self-employed,grindr,instagram dm,1,7-15,4.0,4.0,4.0,4.0,2,active
9014,44,180-190,mediocre,SouthAmerica,arts / media / design,grindr,whatsapp,1,1-7,2.0,3.0,4.0,4.0,1,not active
511,32,190-200,athletic,NorthAmerica,self-employed,tinder,snapchat,1,1-7,2.0,5.0,4.0,4.0,2,active
6378,38,190-200,athletic,SouthAmerica,finance / banking / consulting,Hinge,instagram dm,1,7-15,2.0,2.0,4.0,2.0,1,active
5628,51,160-170,overweight,MiddleEast,public sector / government,instagram,snapchat,1,15-30,2.0,3.0,1.0,3.0,2,active
5372,33,170-180,slim,WesternEurope,engineering / manufacturing,tinder,snapchat,0,,,,,,0,not active
14449,31,200-210,athletic,Africa,education / academia,Bumble,instagram dm,1,15-30,0.0,4.0,3.0,4.0,0,not active
1389,26,190-200,average,Africa,engineering / manufacturing,instagram,snapchat,1,7-15,3.0,3.0,2.0,2.0,1,active
6778,47,180-190,average,WesternEurope,education / academia,Bumble,whatsapp,1,1-7,0.0,5.0,1.0,5.0,1,not active
4145,48,180-190,average,MiddleEast,healthcare / medicine,Bumble,snapchat,1,1-7,2.0,1.0,4.0,1.0,1,not active
1799,27,190-200,muscular,SouthAmerica,public sector / government,tinder,whatsapp,1,1-7,2.0,3.0,4.0,3.0,1,active
6768,39,180-190,mediocre,Asia,arts / media / design,tinder,whatsapp,1,30-90,3.0,4.0,2.0,4.0,1,not active
10148,42,180-190,average,SouthEurope,self-employed,tinder,snapchat,1,30-90,0.0,3.0,1.0,3.0,0,not active
1842,41,160-170,athletic,CentralEurope,finance / banking / consulting,tinder,snapchat,1,1-7,4.0,4.0,4.0,4.0,2,active
2922,47,180-190,mediocre,MiddleEast,it / tech,Bumble,whatsapp,0,,,,,,0,not active
9719,51,180-190,mediocre,MiddleEast,sales / marketing,grindr,grindr,0,,,,,,0,not active
14061,33,190-200,average,SouthAmerica,it / tech,grindr,instagram dm,1,15-30,3.0,5.0,1.0,5.0,1,active
900,50,170-180,mediocre,CentralEurope,education / academia,tinder,whatsapp,0,,,,,,0,not active
9374,36,200-210,athletic,WesternEurope,it / tech,tinder,snapchat,1,7-15,2.0,5.0,2.0,5.0,1,active
780,36,180-190,athletic,CentralEurope,other,instagram,whatsapp,1,7-15,4.0,5.0,1.0,5.0,1,active
11171,41,180-190,average,WesternEurope,public sector / government,tinder,snapchat,1,15-30,0.0,4.0,2.0,4.0,1,not active
7847,40,190-200,average,MiddleEast,self-employed,Bumble,whatsapp,0,,,,,,0,not active
7735,42,190-200,athletic,CentralEurope,finance / banking / consulting,Hinge,grindr,1,1-7,3.0,1.0,3.0,1.0,1,active
13901,31,200-210,athletic,SouthEurope,it / tech,instagram,snapchat,1,1-7,3.0,1.0,1.0,1.0,0,not active
5675,51,200-210,athletic,EasternEurope,sales / marketing,instagram,instagram dm,1,15-30,1.0,3.0,1.0,3.0,1,not active
13663,26,160-170,athletic,Asia,finance / banking / consulting,Hinge,snapchat,1,15-30,1.0,3.0,4.0,3.0,1,active
8912,46,170-180,muscular,Africa,finance / banking / consulting,grindr,instagram dm,1,1-7,0.0,5.0,2.0,5.0,0,not active
5636,51,160-170,overweight,MiddleEast,education / academia,Bumble,tinder,0,,,,,,0,not active
8805,33,190-200,average,NorthAmerica,other,instagram,whatsapp,1,7-15,1.0,3.0,2.0,3.0,2,active
2642,29,200-210,athletic,Africa,unemployed,grindr,instagram dm,1,15-30,4.0,4.0,2.0,4.0,1,active
12761,26,170-180,slim,CentralEurope,service / hospitality,Bumble,instagram dm,1,1-7,1.0,5.0,3.0,5.0,1,active
8142,37,200-210,average,Africa,healthcare / medicine,Bumble,grindr,0,,,,,,0,not active
8575,21,190-200,muscular,MiddleEast,healthcare / medicine,Bumble,instagram dm,1,15-30,5.0,3.0,3.0,2.0,1,active
9971,24,190-200,athletic,SouthEurope,sales / marketing,grindr,instagram dm,1,1-7,4.0,3.0,3.0,3.0,1,not active
6139,42,190-200,athletic,CentralEurope,it / tech,Hinge,instagram dm,1,7-15,0.0,4.0,3.0,4.0,1,active
12024,45,160-170,slim,MiddleEast,finance / banking / consulting,instagram,whatsapp,0,,,,,,0,not active
1735,48,160-170,athletic,NorthAmerica,self-employed,grindr,snapchat,0,,,,,,0,not active
4464,47,160-170,average,EasternEurope,self-employed,tinder,instagram dm,1,7-15,0.0,3.0,5.0,3.0,1,active
4815,28,180-190,mediocre,NorthAmerica,engineering / manufacturing,instagram,snapchat,1,15-30,1.0,1.0,4.0,2.0,1,active
13506,34,160-170,slim,CentralEurope,sales / marketing,instagram,whatsapp,0,,,,,,0,not active
2430,41,180-190,mediocre,Africa,healthcare / medicine,Bumble,snapchat,1,7-15,3.0,5.0,1.0,5.0,1,not active
12287,48,190-200,athletic,NorthAmerica,finance / banking / consulting,Bumble,snapchat,1,15-30,1.0,3.0,1.0,3.0,1,active
4231,20,180-190,athletic,MiddleEast,self-employed,tinder,instagram dm,1,7-15,4.0,1.0,1.0,1.0,0,not active
13544,51,170-180,athletic,SouthEurope,it / tech,tinder,instagram dm,0,,,,,,0,not active
13090,42,170-180,muscular,Africa,finance / banking / consulting,grindr,instagram dm,0,,,,,,0,not active
9523,42,160-170,athletic,SouthAmerica,public sector / government,tinder,instagram dm,1,1-7,4.0,3.0,1.0,3.0,1,not active
14451,21,200-210,athletic,SouthAmerica,service / hospitality,tinder,snapchat,0,,,,,,0,not active
9321,37,160-170,average,MiddleEast,healthcare / medicine,Hinge,instagram dm,0,,,,,,0,not active
8617,48,170-180,mediocre,Asia,arts / media / design,tinder,instagram dm,1,1-7,2.0,5.0,2.0,5.0,2,active
10245,49,160-170,average,WesternEurope,education / academia,tinder,snapchat,1,15-30,2.0,5.0,1.0,5.0,1,not active
6417,21,160-170,athletic,MiddleEast,sales / marketing,tinder,instagram dm,1,1-7,4.0,3.0,3.0,4.0,1,active
5935,37,190-200,average,Africa,finance / banking / consulting,tinder,snapchat,1,1-7,3.0,3.0,4.0,3.0,0,not active
1424,49,180-190,muscular,Africa,it / tech,tinder,whatsapp,1,1-7,2.0,5.0,3.0,5.0,1,active
1591,45,160-170,overweight,EasternEurope,engineering / manufacturing,tinder,snapchat,0,,,,,,1,active
9439,27,190-200,muscular,Africa,arts / media / design,tinder,snapchat,1,7-15,0.0,3.0,3.0,2.0,1,active
11985,50,160-170,average,MiddleEast,unemployed,grindr,telegram,1,7-15,0.0,5.0,2.0,5.0,2,active
12476,40,180-190,average,WesternEurope,finance / banking / consulting,Hinge,instagram dm,0,,,,,,0,not active
5901,32,160-170,mediocre,Asia,sales / marketing,tinder,snapchat,1,7-15,3.0,2.0,4.0,2.0,1,not active
